dt;x;y;z;a;b;c;j_cfg
0.008;287.96;-220.74;472.02;166.48;0.46;-179.67;1028
0.008;287.96029980142157;-220.73970019857845;472.02;166.48;0.46;-179.67;1028
0.008;287.96239841137253;-220.73760158862748;472.02;166.48;0.46;-179.67;1028
0.008;287.9680946383823;-220.7319053616177;472.02;166.48;0.46;-179.67;1028
0.008;287.9791872909803;-220.72081270901973;472.02;166.48;0.46;-179.67;1028
0.008;287.99747517769583;-220.70252482230413;472.02;166.48;0.46;-179.67;1028
0.008;288.02475710705846;-220.67524289294153;472.02;166.48;0.46;-179.67;1028
0.008;288.0628318875975;-220.63716811240252;472.02;166.48;0.46;-179.67;1028
0.008;288.1134983278423;-220.58650167215768;472.02;166.48;0.46;-179.67;1028
0.008;288.1785552363224;-220.52144476367764;472.02;166.48;0.46;-179.67;1028
0.008;288.25980142156703;-220.44019857843296;472.02;166.48;0.46;-179.67;1028
0.008;288.35903569210575;-220.34096430789427;472.02;166.48;0.46;-179.67;1028
0.008;288.47805685646784;-220.22194314353214;472.02;166.48;0.46;-179.67;1028
0.008;288.6186637231828;-220.08133627681718;472.02;166.48;0.46;-179.67;1028
0.008;288.78265510077995;-219.91734489922;472.02;166.48;0.46;-179.67;1028
0.008;288.97182979778876;-219.7281702022112;472.02;166.48;0.46;-179.67;1028
0.008;289.1879866227386;-219.51201337726135;472.02;166.48;0.46;-179.67;1028
0.008;289.4329243841589;-219.26707561584107;472.02;166.48;0.46;-179.67;1028
0.008;289.708441890579;-218.99155810942096;472.02;166.48;0.46;-179.67;1028
0.008;290.0163379505284;-218.6836620494716;472.02;166.48;0.46;-179.67;1028
0.008;290.3584113725364;-218.34158862746358;472.02;166.48;0.46;-179.67;1028
0.008;290.73646096513244;-217.96353903486752;472.02;166.48;0.46;-179.67;1028
0.008;291.15228553684597;-217.54771446315402;472.02;166.48;0.46;-179.67;1028
0.008;291.6076838962063;-217.09231610379368;472.02;166.48;0.46;-179.67;1028
0.008;292.1044548517429;-216.59554514825706;472.02;166.48;0.46;-179.67;1028
0.008;292.64439721198517;-216.0556027880148;472.02;166.48;0.46;-179.67;1028
0.008;293.22905487339216;-215.47094512660783;472.02;166.48;0.46;-179.67;1028
0.008;293.8587773784581;-214.8412226215419;472.02;166.48;0.46;-179.67;1028
0.008;294.5335647708922;-214.16643522910778;472.02;166.48;0.46;-179.67;1028
0.008;295.2534170506945;-213.44658294930545;472.02;166.48;0.46;-179.67;1028
0.008;296.018334217865;-212.68166578213496;472.02;166.48;0.46;-179.67;1028
0.008;296.8283162724037;-211.87168372759626;472.02;166.48;0.46;-179.67;1028
0.008;297.6833632143106;-211.0166367856894;472.02;166.48;0.46;-179.67;1028
0.008;298.5834750435856;-210.11652495641437;472.02;166.48;0.46;-179.67;1028
0.008;299.52865176022885;-209.1713482397711;472.02;166.48;0.46;-179.67;1028
0.008;300.5188933642403;-208.1811066357597;472.02;166.48;0.46;-179.67;1028
0.008;301.5541998556199;-207.1458001443801;472.02;166.48;0.46;-179.67;1028
0.008;302.6345712343677;-206.0654287656323;472.02;166.48;0.46;-179.67;1028
0.008;303.76000750048365;-204.93999249951634;472.02;166.48;0.46;-179.67;1028
0.008;304.9305086539678;-203.76949134603217;472.02;166.48;0.46;-179.67;1028
0.008;306.14607469482013;-202.55392530517983;472.02;166.48;0.46;-179.67;1028
0.008;307.4067056230407;-201.2932943769593;472.02;166.48;0.46;-179.67;1028
0.008;308.7124014386294;-199.9875985613706;472.02;166.48;0.46;-179.67;1028
0.008;310.0631621415863;-198.63683785841368;472.02;166.48;0.46;-179.67;1028
0.008;311.45898773191135;-197.24101226808864;472.02;166.48;0.46;-179.67;1028
0.008;312.89987820960465;-195.80012179039537;472.02;166.48;0.46;-179.67;1028
0.008;314.3858335746661;-194.31416642533392;472.02;166.48;0.46;-179.67;1028
0.008;315.91685382709574;-192.78314617290428;472.02;166.48;0.46;-179.67;1028
0.008;317.4929389668935;-191.20706103310647;472.02;166.48;0.46;-179.67;1028
0.008;319.11408899405956;-189.58591100594046;472.02;166.48;0.46;-179.67;1028
0.008;320.78030390859374;-187.91969609140628;472.02;166.48;0.46;-179.67;1028
0.008;322.4915837104961;-186.2084162895039;472.02;166.48;0.46;-179.67;1028
0.008;324.24792839976664;-184.45207160023335;472.02;166.48;0.46;-179.67;1028
0.008;326.04933797640535;-182.6506620235946;472.02;166.48;0.46;-179.67;1028
0.008;327.8958124404123;-180.8041875595877;472.02;166.48;0.46;-179.67;1028
0.008;329.7873517917874;-178.91264820821257;472.02;166.48;0.46;-179.67;1028
0.008;331.7239560305307;-176.9760439694693;472.02;166.48;0.46;-179.67;1028
0.008;333.70562515664216;-174.9943748433578;472.02;166.48;0.46;-179.67;1028
0.008;335.73235917012187;-172.96764082987815;472.02;166.48;0.46;-179.67;1028
0.008;337.80415807096966;-170.8958419290303;472.02;166.48;0.46;-179.67;1028
0.008;339.9210218591857;-168.77897814081427;472.02;166.48;0.46;-179.67;1028
0.008;342.0829505347699;-166.61704946523005;472.02;166.48;0.46;-179.67;1028
0.008;344.28994409772235;-164.41005590227766;472.02;166.48;0.46;-179.67;1028
0.008;346.54198755578636;-162.15801244421363;472.02;166.48;0.46;-179.67;1028
0.008;348.8383576527844;-159.8616423472156;472.02;166.48;0.46;-179.67;1028
0.008;351.1773311096893;-157.52266889031068;472.02;166.48;0.46;-179.67;1028
0.008;353.5571091179717;-155.14289088202827;472.02;166.48;0.46;-179.67;1028
0.008;355.9758928691022;-152.72410713089778;472.02;166.48;0.46;-179.67;1028
0.008;358.4318835545514;-150.26811644544858;472.02;166.48;0.46;-179.67;1028
0.008;360.9232823657899;-147.77671763421012;472.02;166.48;0.46;-179.67;1028
0.008;363.44829049428824;-145.25170950571174;472.02;166.48;0.46;-179.67;1028
0.008;366.0051091315171;-142.6948908684829;472.02;166.48;0.46;-179.67;1028
0.008;368.59193946894703;-140.10806053105296;472.02;166.48;0.46;-179.67;1028
0.008;371.2069826980486;-137.4930173019514;472.02;166.48;0.46;-179.67;1028
0.008;373.8484400102925;-134.8515599897075;472.02;166.48;0.46;-179.67;1028
0.008;376.51451259714923;-132.18548740285075;472.02;166.48;0.46;-179.67;1028
0.008;379.2034016500895;-129.4965983499105;472.02;166.48;0.46;-179.67;1028
0.008;381.91330836058376;-126.7866916394162;472.02;166.48;0.46;-179.67;1028
0.008;384.6424339201027;-124.05756607989728;472.02;166.48;0.46;-179.67;1028
0.008;387.38897952011695;-121.31102047988303;472.02;166.48;0.46;-179.67;1028
0.008;390.15114635209704;-118.54885364790293;472.02;166.48;0.46;-179.67;1028
0.008;392.9271356075136;-115.77286439248637;472.02;166.48;0.46;-179.67;1028
0.008;395.7151484778372;-112.98485152216277;472.02;166.48;0.46;-179.67;1028
0.008;398.51338615453847;-110.1866138454615;472.02;166.48;0.46;-179.67;1028
0.008;401.320049829088;-107.379950170912;472.02;166.48;0.46;-179.67;1028
0.008;404.1333406929564;-104.56665930704362;472.02;166.48;0.46;-179.67;1028
