dt;x;y;z;a;b;c;j_cfg
0.008;3.65;-767.19;481.65;166.48;0.45;-179.68;1028
0.008;3.650984583052622;-767.1890154169474;481.65;166.48;0.45;-179.68;1028
0.008;3.657876664420977;-767.182123335579;481.65;166.48;0.45;-179.68;1028
0.008;3.6765837424207968;-767.1634162575792;481.65;166.48;0.45;-179.68;1028
0.008;3.7130133153678146;-767.1269866846322;481.65;166.48;0.45;-179.68;1028
0.008;3.7730728815777637;-767.0669271184223;481.65;166.48;0.45;-179.68;1028
0.008;3.8626699393663753;-766.9773300606337;481.65;166.48;0.45;-179.68;1028
0.008;3.987711987049383;-766.8522880129507;481.65;166.48;0.45;-179.68;1028
0.008;4.154106522942519;-766.6858934770576;481.65;166.48;0.45;-179.68;1028
0.008;4.367761045361517;-766.4722389546386;481.65;166.48;0.45;-179.68;1028
0.008;4.634583052622109;-766.2054169473779;481.65;166.48;0.45;-179.68;1028
0.008;4.960480043040025;-765.87951995696;481.65;166.48;0.45;-179.68;1028
0.008;5.351359514931003;-765.488640485069;481.65;166.48;0.45;-179.68;1028
0.008;5.813128966610773;-765.0268710333893;481.65;166.48;0.45;-179.68;1028
0.008;6.351695896395064;-764.488304103605;481.65;166.48;0.45;-179.68;1028
0.008;6.972967802599614;-763.8670321974005;481.65;166.48;0.45;-179.68;1028
0.008;7.682852183540154;-763.1571478164599;481.65;166.48;0.45;-179.68;1028
0.008;8.486962590014123;-762.353037409986;481.65;166.48;0.45;-179.68;1028
0.008;9.385029113341819;-761.4549708866582;481.65;166.48;0.45;-179.68;1028
0.008;10.371348084587787;-760.4686519154122;481.65;166.48;0.45;-179.68;1028
0.008;11.44001200543629;-759.3999879945637;481.65;166.48;0.45;-179.68;1028
0.008;12.585113377571602;-758.2548866224284;481.65;166.48;0.45;-179.68;1028
0.008;13.800744702677985;-757.039255297322;481.65;166.48;0.45;-179.68;1028
0.008;15.080998482439709;-755.7590015175604;481.65;166.48;0.45;-179.68;1028
0.008;16.419967218541043;-754.420032781459;481.65;166.48;0.45;-179.68;1028
0.008;17.811743412666246;-753.0282565873338;481.65;166.48;0.45;-179.68;1028
0.008;19.250419566499595;-751.5895804335005;481.65;166.48;0.45;-179.68;1028
0.008;20.730088181725346;-750.1099118182747;481.65;166.48;0.45;-179.68;1028
0.008;22.24484176002778;-748.5951582399723;481.65;166.48;0.45;-179.68;1028
0.008;23.788772803091163;-747.0512271969089;481.65;166.48;0.45;-179.68;1028
0.008;25.355973812599743;-745.4840261874003;481.65;166.48;0.45;-179.68;1028
0.008;26.94053729023781;-743.8994627097622;481.65;166.48;0.45;-179.68;1028
0.008;28.53655573768963;-742.3034442623104;481.65;166.48;0.45;-179.68;1028
0.008;30.13812187950662;-740.7018781204935;481.65;166.48;0.45;-179.68;1028
0.008;31.74050333884472;-739.0994966611553;481.65;166.48;0.45;-179.68;1028
0.008;33.34288479818283;-737.4971152018172;481.65;166.48;0.45;-179.68;1028
0.008;34.945266257520935;-735.8947337424792;481.65;166.48;0.45;-179.68;1028
0.008;36.547647716859025;-734.292352283141;481.65;166.48;0.45;-179.68;1028
0.008;38.15002917619714;-732.6899708238029;481.65;166.48;0.45;-179.68;1028
0.008;39.752410635535234;-731.0875893644649;481.65;166.48;0.45;-179.68;1028
0.008;41.35479209487334;-729.4852079051267;481.65;166.48;0.45;-179.68;1028
0.008;42.95717355421145;-727.8828264457886;481.65;166.48;0.45;-179.68;1028
0.008;44.55955501354955;-726.2804449864504;481.65;166.48;0.45;-179.68;1028
0.008;46.161936472887646;-724.6780635271124;481.65;166.48;0.45;-179.68;1028
0.008;47.764317932225744;-723.0756820677743;481.65;166.48;0.45;-179.68;1028
0.008;49.36669939156385;-721.4733006084361;481.65;166.48;0.45;-179.68;1028
0.008;50.96908085090195;-719.8709191490981;481.65;166.48;0.45;-179.68;1028
0.008;52.57146231024006;-718.26853768976;481.65;166.48;0.45;-179.68;1028
0.008;54.17384376957817;-716.6661562304218;481.65;166.48;0.45;-179.68;1028
0.008;55.77622522891626;-715.0637747710838;481.65;166.48;0.45;-179.68;1028
0.008;57.37860668825437;-713.4613933117457;481.65;166.48;0.45;-179.68;1028
0.008;58.98098814759248;-711.8590118524075;481.65;166.48;0.45;-179.68;1028
0.008;60.58336960693058;-710.2566303930695;481.65;166.48;0.45;-179.68;1028
0.008;62.18575106626867;-708.6542489337314;481.65;166.48;0.45;-179.68;1028
0.008;63.788132525606784;-707.0518674743932;481.65;166.48;0.45;-179.68;1028
0.008;65.39051398494489;-705.4494860150552;481.65;166.48;0.45;-179.68;1028
0.008;66.992895444283;-703.847104555717;481.65;166.48;0.45;-179.68;1028
0.008;68.5952769036211;-702.244723096379;481.65;166.48;0.45;-179.68;1028
0.008;70.1976583629592;-700.6423416370409;481.65;166.48;0.45;-179.68;1028
0.008;71.80003982229732;-699.0399601777027;481.65;166.48;0.45;-179.68;1028
0.008;73.4024212816354;-697.4375787183646;481.65;166.48;0.45;-179.68;1028
0.008;75.00480274097352;-695.8351972590266;481.65;166.48;0.45;-179.68;1028
0.008;76.60718420031161;-694.2328157996884;481.65;166.48;0.45;-179.68;1028
0.008;78.20980683505225;-692.6301931649479;481.65;166.48;0.45;-179.68;1028
0.008;79.81847925753003;-691.02152074247;481.65;166.48;0.45;-179.68;1028
0.008;81.44458887547593;-689.3954111245241;481.65;166.48;0.45;-179.68;1028
0.008;83.09976654371916;-687.7402334562809;481.65;166.48;0.45;-179.68;1028
0.008;84.79564311708889;-686.0443568829112;481.65;166.48;0.45;-179.68;1028
0.008;86.54384945041436;-684.2961505495857;481.65;166.48;0.45;-179.68;1028
0.008;88.35601639852474;-682.4839836014753;481.65;166.48;0.45;-179.68;1028
0.008;90.24377481624927;-680.5962251837508;481.65;166.48;0.45;-179.68;1028
0.008;92.2187555584172;-678.6212444415828;481.65;166.48;0.45;-179.68;1028
0.008;94.29258947985765;-676.5474105201424;481.65;166.48;0.45;-179.68;1028
0.008;96.47690743539985;-674.3630925646003;481.65;166.48;0.45;-179.68;1028
0.008;98.78334027987312;-672.056659720127;481.65;166.48;0.45;-179.68;1028
0.008;101.22351886810652;-669.6164811318936;481.65;166.48;0.45;-179.68;1028
